id,Arabic-female,Arabic-male,Arabic-neutral,Chinese-neutral,Chinese-neutral-informal,English-neutral,Farsi-neutral,French-female,French-male,French-neutral,German-female,German-male,Spanish-female,Spanish-male,Spanish-neutral,Urdu-english-arabic,Urdu-female,Urdu-male,Urdu-neutral,Wolof-neutral-en
35,0.3714270383544544,0.3714270383544544,0.3714270383544544,0.425178101383709,0.14355927390437298,0.2618651499478058,0.17216876593011524,0.11924662776352585,0.11924662776352585,0.11924662776352585,-0.2316364113694793,-0.2316364113694793,-0.1917780600253195,-0.1917780600253195,-0.1917780600253195,-0.2864622325762463,-0.2864622325762463,-0.2864622325762463,-0.2864622325762463,
36,-0.07000316671604336,-0.07000316671604336,-0.07000316671604336,0.25109868671812346,-0.31556413385946497,-0.22466250595608403,-0.15190715994085732,-0.3982698927059723,-0.3982698927059723,-0.3982698927059723,0.25510467974624035,0.25510467974624035,0.33699075157029834,0.33699075157029834,0.33699075157029834,0.2846047726651859,0.2846047726651859,0.2846047726651859,0.2846047726651859,0.19085083186954407
37,0.13207558317655968,0.13207558317655968,0.13207558317655968,0.41144868793478157,-0.01518736589266378,0.12424080176194204,0.14676856958814044,0.1410507975090927,0.1410507975090927,0.1410507975090927,-0.1942557505611572,-0.1942557505611572,-0.1081766833192847,-0.1081766833192847,-0.1081766833192847,-0.07361759979051047,-0.07361759979051047,-0.07361759979051047,-0.07361759979051047,0.7652817859679989
38,-0.40036605986351215,-0.40036605986351215,-0.40036605986351215,-0.2697166834878416,-0.24520874736254644,-0.3712831472791823,-0.26561043419705466,-0.43934593192702187,-0.43934593192702187,-0.43934593192702187,0.23627919268586706,0.23627919268586706,0.45099522725496194,0.45099522725496194,0.45099522725496194,0.32624636127981776,0.32624636127981776,0.32624636127981776,0.32624636127981776,
39,0.07512666154148598,0.07512666154148598,0.07512666154148598,-0.16986647306636735,-0.21308245357700326,0.002329233497852373,0.17216876593011524,0.09292585173331172,0.09292585173331172,0.09292585173331172,0.07018731305680517,0.07018731305680517,-0.08278738833620224,-0.08278738833620224,-0.08278738833620224,-0.06678983166971329,-0.06678983166971329,-0.06678983166971329,-0.06678983166971329,
40,-0.47058629729859847,-0.47058629729859847,-0.47058629729859847,-0.3057220658748951,-0.36243374080554264,-0.19166164219120904,,-0.47760348864498087,-0.47760348864498087,-0.47760348864498087,0.40243128207947715,0.40243128207947715,0.41647220463109114,0.41647220463109114,0.41647220463109114,0.37343264007004034,0.37343264007004034,0.37343264007004034,0.37343264007004034,
41,-0.06346678564180916,-0.06346678564180916,-0.06346678564180916,0.32808199831531465,-0.39809261396295503,0.2228449412125182,0.1456441273975023,0.11597405487220487,0.11597405487220487,0.11597405487220487,-0.12335988159916854,-0.12335988159916854,-0.2836764177094409,-0.2836764177094409,-0.2836764177094409,-0.16906553413668007,-0.16906553413668007,-0.16906553413668007,-0.16906553413668007,0.541209201920508
42,-0.378092768465422,-0.378092768465422,-0.378092768465422,0.18982086392668285,-0.09075115463839452,-0.11643511891921647,-0.17222415973946972,-0.37475482429478274,-0.37475482429478274,-0.37475482429478274,0.21894931973254603,0.21894931973254603,0.3285182922277159,0.3285182922277159,0.3285182922277159,0.3181067835559348,0.3181067835559348,0.3181067835559348,0.3181067835559348,0.24436331807363154
43,-0.03251267351789877,-0.03251267351789877,-0.03251267351789877,0.1132699195848766,-0.10977643185323838,-0.05503665652175221,-0.2308163913004627,-0.11399511902065447,-0.11399511902065447,-0.11399511902065447,0.014803675601663508,0.014803675601663508,0.07813668751686831,0.07813668751686831,0.07813668751686831,0.159535213510198,0.159535213510198,0.159535213510198,0.159535213510198,
44,-0.37445881556544064,-0.37445881556544064,-0.37445881556544064,0.10797694928952666,-0.4133710518378706,-0.43765336097645485,-0.3470030874261099,-0.38171650892025477,-0.38171650892025477,-0.38171650892025477,0.5130872345495344,0.5130872345495344,0.40746947428194646,0.40746947428194646,0.40746947428194646,0.4270558221718892,0.4270558221718892,0.4270558221718892,0.4270558221718892,
45,0.424276305525888,0.424276305525888,0.424276305525888,-0.5190406019886205,0.06068531224524315,0.5440336289198732,0.3362378734696856,0.1406661458055082,0.1406661458055082,0.1406661458055082,-0.2668149583884684,-0.2668149583884684,-0.18876739895832353,-0.18876739895832353,-0.18876739895832353,-0.11056398620721956,-0.11056398620721956,-0.11056398620721956,-0.11056398620721956,
